timestamp,temperature_c,humidity_pct,precip_mm,city,latitude,longitude,load_dts_utc
2025-11-17T00:00,7.5,91,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T01:00,7.7,91,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T02:00,7.7,91,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T03:00,8.0,90,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T04:00,7.7,93,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T05:00,7.6,94,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T06:00,6.8,88,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T07:00,6.6,87,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T08:00,6.2,88,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T09:00,5.7,89,0.1,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T10:00,5.2,88,0.1,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T11:00,5.0,87,0.1,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T12:00,5.2,84,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T13:00,5.3,82,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T14:00,5.2,83,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T15:00,5.1,85,0.2,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T16:00,4.9,87,0.2,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T17:00,4.6,88,0.2,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T18:00,4.4,89,0.2,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T19:00,4.3,90,0.2,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T20:00,4.3,90,0.2,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T21:00,4.3,85,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T22:00,4.3,82,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-17T23:00,3.9,84,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-18T00:00,3.5,85,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-18T01:00,3.4,84,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-18T02:00,2.9,86,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-18T03:00,2.0,89,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-18T04:00,1.4,88,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-18T05:00,1.1,86,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-18T06:00,1.2,84,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
2025-11-18T07:00,1.3,83,0.0,Warsaw,52.23,21.01,2025-11-17 22:55:01
